id;name;full_name;birth_date;height_cm;weight_kgs;positions;nationality;overall_rating;potential;preferred_foot;international_reputation;weak_foot;skill_moves;body_type;difficulty
5877;A. Al Arishi;Abdulmajeed Al Arishi;7/1/1995;175.26;69.9;CB;Saudi Arabia;56;65;Right;1;3;2;Normal;Very Hard
5878;M. Żyro;Mateusz Żyro;10/28/1998;187.96;78.0;CB,CDM;Poland;56;70;Right;1;3;2;Lean;Very Hard
5879;M. Adamec;Martin Adamec;8/14/1998;152.4;69.9;CM,CAM;Slovakia;56;69;Right;1;3;2;Normal;Very Hard
5880;M. Wohlgemuth;Mikkel Wohlgemuth;6/4/1995;152.4;69.9;CM;Denmark;56;65;Right;1;2;2;Lean;Very Hard
5881;A. Addai;Alex Addai;12/20/1993;152.4;73.9;ST,RM;England;56;61;Right;1;3;2;Normal;Very Hard
5882;L. Wackerle;Lukas Wackerle;10/1/1995;185.42;83.9;GK;Austria;56;61;Right;1;2;1;Normal;Very Hard
5883;S. Mackie;Sean Mackie;11/4/1998;152.4;74.8;LB,LWB;Scotland;56;67;Left;1;3;2;Normal;Very Hard
5884;P. Patron;Pierre Patron;8/20/1997;190.5;84.8;GK;France;56;63;Right;1;2;1;Normal;Very Hard
5885;R. Oates;Rhys Oates;12/4/1994;182.88;73.9;RM,LM,ST;England;56;61;Right;1;3;2;Normal;Very Hard
5886;K. Lewis-Potter;Keane Lewis-Potter;2/22/2001;175.26;74.8;ST;England;56;70;Right;1;3;2;Lean;Very Hard
5887;S. Nakagawa;中川 梭;6/1/1999;182.88;71.2;CB;Japan;56;72;Right;1;2;2;Lean;Very Hard
5888;M. Köbbing;Matthias Köbbing;5/28/1997;195.58;89.8;GK;Germany;56;66;Right;1;3;1;Normal;Very Hard
5889;M. Sopoćko;Mateusz Sopoćko;6/26/1999;175.26;64.9;CAM,CM;Poland;56;72;Right;1;2;2;Normal;Very Hard
5890;M. Al Sulami;Muhayya Al Sulami;10/13/1995;152.4;72.1;GK;Saudi Arabia;56;65;Left;1;3;1;Lean;Very Hard
5891;K. Suzuki;Kunitomo Suzuki;7/3/1995;185.42;78.0;ST;Japan;56;62;Right;1;3;2;Normal;Very Hard
5892;P. Plewka;Patryk Plewka;1/2/2000;175.26;69.9;CDM;Poland;56;70;Right;1;2;2;Lean;Very Hard
5893;S. Mallon;Stephen Mallon;2/7/1999;152.4;64.0;LM,CM;Republic of Ireland;56;73;Left;1;2;2;Lean;Very Hard
5894;Long Wei;龙威;1/22/1995;182.88;69.9;CB,CDM,LB;China PR;56;63;Right;1;2;2;Normal;Very Hard
5895;J. Faye Lund;Julian Faye Lund;5/20/1999;185.42;79.8;GK;Norway;56;71;Right;1;2;1;Normal;Very Hard
5896;J. Thompson;Jordon Thompson;4/8/1999;182.88;76.2;CB,RB;England;56;70;Right;1;2;2;Normal;Very Hard
5897;N. Al Harthi;Nawaf Al Harthi;10/12/1998;170.18;58.1;RM,CAM,ST;Saudi Arabia;56;70;Left;1;3;2;Lean;Very Hard
5898;J. Olufsen;Joachim Olufsen;7/14/1995;182.88;74.8;LW;Norway;56;64;Left;1;3;2;Lean;Very Hard
5899;A. Toptik;Azad Toptik;2/12/1999;152.4;64.9;LM,RM,ST;Turkey;56;68;Left;1;3;2;Normal;Very Hard
5900;A. Obando;Agustín Obando;3/11/2000;175.26;68.0;LW;Argentina;56;76;Left;1;2;2;Normal;Very Hard
5901;J. Talbot;James Talbot;4/24/1997;182.88;79.8;GK;Republic of Ireland;56;63;Left;1;2;1;Normal;Very Hard
5902;F. Rizzi;Facundo Rizzi;8/28/1997;175.26;69.9;LB;Argentina;56;70;Left;1;3;2;Lean;Very Hard
5903;S. Kulenović;Sandro Kulenović;12/4/1999;187.96;76.2;ST;Croatia;56;76;Right;1;3;2;Normal;Very Hard
5904;G. Pender;Ger Pender;5/22/1994;152.4;71.2;ST;Republic of Ireland;56;62;Right;1;3;2;Stocky;Very Hard
5905;N. Hahn;Niels Hahn;5/24/2001;175.26;68.9;CDM,CM;Austria;56;77;Right;1;4;2;Lean;Very Hard
5906;Li Siqi;李思琦;8/30/1997;182.88;77.1;CM;China PR;56;64;Right;1;3;2;Normal;Very Hard
5907;M. Shinada;品田 愛斗;9/19/1999;154.94;66.2;CM,CAM,CDM;Japan;56;71;Right;1;3;2;Lean;Very Hard
5908;O. Skarsem;Olaus Jair Skarsem;7/2/1998;182.88;73.9;CM,LW;Norway;56;73;Right;1;3;2;Lean;Very Hard
5909;J. Ball;James Ball;12/1/1995;187.96;79.8;CM;England;56;64;Right;1;3;2;Normal;Very Hard
5910;J. Fischer;Jaap Fischer;1/25/2000;154.94;68.0;CM,CDM;Netherlands;56;70;Right;1;4;2;Normal;Very Hard
5911;J. Ceesay;Joseph Ceesay;6/3/1998;152.4;68.9;RM,LM;Sweden;56;66;Right;1;3;2;Normal;Very Hard
5912;M. Castaño;Cesar Matheo Castaño Gómez;4/15/1999;175.26;64.0;CAM;Colombia;56;74;Right;1;3;2;Normal;Very Hard
5913;H. Campbell;Harry Campbell;11/16/1995;185.42;77.1;GK;England;56;66;Right;1;3;1;Normal;Very Hard
5914;K. Klaesson;Kristoffer Klaesson;11/27/2000;187.96;76.2;GK;Norway;56;74;Left;1;2;1;Normal;Very Hard
5915;H. Hassan;Haissem Hassan;2/8/2002;172.72;69.9;LW;France;56;76;Left;1;2;2;Normal;Very Hard
5916;A. Drinan;Aaron Drinan;5/6/1998;182.88;73.0;ST,LW;Republic of Ireland;56;71;Left;1;3;2;Lean;Very Hard
5917;I. Samba;Issa Samba;1/29/1998;182.88;73.9;RB;France;56;69;Right;1;3;2;Normal;Very Hard
5918;H. Al Watyan;Habib Al Watyan;8/8/1996;187.96;87.1;GK;Saudi Arabia;56;68;Right;1;3;1;Normal;Very Hard
5919;M. Bulka;Marcin Bulka;10/4/1999;198.12;89.8;GK;Poland;56;74;Right;1;2;1;Lean;Very Hard
5920;S. Bajic;Stefan Bajic;12/23/2001;190.5;83.9;GK;France;56;79;Right;1;3;1;Lean;Very Hard
5921;Pedrosa;Daniel Pedrosa Loureiro;9/4/1996;182.88;73.9;ST;Spain;56;64;Right;1;3;2;Lean;Very Hard
5922;K. Mendoza;Kevin Ray Mendoza;9/29/1994;187.96;86.2;GK;Philippines;56;62;Right;1;2;1;Normal;Very Hard
5923;J. Williams;Jordan Williams;10/22/1999;152.4;74.8;RB,CB;England;56;72;Right;1;2;2;Lean;Very Hard
5924;C. Waters;Calum Waters;3/10/1996;167.64;72.1;LB,LM;Scotland;56;64;Left;1;3;2;Stocky;Very Hard
5925;T. O'Neill;Tyrone O'Neill;10/12/1999;185.42;69.9;ST;England;56;72;Right;1;3;2;Lean;Very Hard
5926;Wang Ziming;王子铭;8/5/1996;187.96;76.2;ST;China PR;56;65;Right;1;3;2;Normal;Very Hard
5927;N. Kastenhofer;Niklas Kastenhofer;1/8/1999;185.42;74.8;CB;Germany;56;71;Right;1;3;2;Lean;Very Hard
5928;M. Ogkmpoe;Marios Ogkmpoe;10/10/1994;187.96;79.8;ST;Greece;56;63;Right;1;3;2;Normal;Very Hard
5929;R. Escobar;Ronald Escobar;5/3/1997;170.18;63.0;ST,RW;Chile;56;62;Right;1;3;2;Normal;Very Hard
5930;E. Lyngdoh;Eugeneson Lyngdoh;9/10/1986;175.26;68.0;CM,CDM;India;56;56;Right;1;3;2;Lean;Very Hard
5931;Darío Ramos;Darío Ramos Pinazo;10/19/1999;190.5;78.0;GK;Spain;56;74;Right;1;3;1;Normal;Very Hard
5932;T. Vermot;Théo Vermot;1/27/1997;190.5;74.8;GK;France;56;65;Right;1;2;1;Lean;Very Hard
5933;D. Takahashi;髙橋 大悟;4/17/1999;162.56;53.1;ST;Japan;56;70;Left;1;3;2;Lean;Very Hard
5934;O. Sigurjónsson;Oliver Sigurjónsson;3/3/1995;175.26;74.8;CM;Iceland;56;62;Right;1;3;2;Normal;Very Hard
5935;N. Mickelson;Nicholas Mickelson;7/24/1999;185.42;79.8;RB;Norway;56;70;Right;1;3;2;Normal;Very Hard
5936;C. Carroll;Canice Carroll;1/26/1999;182.88;76.2;CB,CDM,RB;Republic of Ireland;56;72;Right;1;3;2;Normal;Very Hard
5937;B. Hernández;Betsiel Hernández;12/22/1994;172.72;72.1;LB;Mexico;56;59;Left;1;3;2;Lean;Very Hard
5938;S. Kawamata;川俣 慎一郎;7/23/1989;187.96;86.2;GK;Japan;56;56;Right;1;3;1;Normal;Very Hard
5939;Y. Pambou;Yves Simon Pambou Loembet;11/27/1995;170.18;68.0;CM;France;56;64;Left;1;3;2;Lean;Very Hard
5940;F. Al Rashidi;Fahad Al Rashidi;5/16/1997;175.26;68.0;RM,LM;Saudi Arabia;56;65;Right;1;2;3;Lean;Very Hard
5941;A. Hinds;Akeem Hinds;11/26/1999;152.4;72.1;LB;England;56;68;Left;1;3;2;Lean;Very Hard
5942;G. Taipi;Gjelbrim Taipi;12/13/1992;175.26;76.2;CM;Albania;56;59;Left;1;2;2;Normal;Very Hard
5943;P. Jensen;Peter Vindahl Jensen;2/16/1998;195.58;88.9;GK;Denmark;56;63;Right;1;2;1;Normal;Very Hard
5944;S. Grønli;Sigurd Grønli;10/17/2000;170.18;64.0;CF,CAM;Norway;56;77;Right;1;3;2;Lean;Very Hard
5945;H. St Clair;Harvey St Clair;10/13/1998;175.26;64.9;LW;Scotland;56;70;Right;1;3;2;Lean;Very Hard
5946;S. Guzmán;Sebastián Felipe Guzmán Mendoza;5/26/1997;152.4;57.2;CDM;Colombia;56;66;Right;1;3;2;Normal;Very Hard
5947;A. Tripicchio;Andrea Tripicchio;1/10/1996;182.88;77.1;RW,RM;Italy;56;65;Left;1;3;2;Normal;Very Hard
5948;Javito;Javier Almerge Viñuales;1/1/2001;152.4;68.9;RB;Spain;56;72;Right;1;3;2;Lean;Very Hard
5949;M. Rodrigues;Miguel Rodrigues;12/7/1996;182.88;74.8;CB;Switzerland;56;65;Right;1;3;2;Normal;Very Hard
5950;S. Lavelle;Sam Lavelle;10/3/1996;182.88;76.2;CB;Scotland;56;65;Right;1;3;2;Normal;Very Hard
5951;K. Cantwell;Kilian Cantwell;5/24/1995;187.96;78.9;CB,RB;Republic of Ireland;56;62;Right;1;2;2;Normal;Very Hard
5952;M. Nuhu;Musah Nuhu;1/17/1997;195.58;84.8;CB;Ghana;56;66;Right;1;3;2;Normal;Very Hard
5953;Y. Requena;Yuxer McAllyster Requena Venales;8/5/1994;165.1;64.0;RM;Venezuela;56;62;Right;1;3;2;Normal;Very Hard
5954;C. Goslin;Chris Goslin;5/12/2000;170.18;66.2;CM,CAM;United States;56;76;Right;1;3;2;Lean;Very Hard
5955;S. Belkahia;Semi Belkahia;12/22/1998;193.04;87.1;CB;Germany;56;66;Right;1;4;2;Normal;Very Hard
5956;P. McKay;Paul McKay;11/19/1996;190.5;82.1;CB;Scotland;56;66;Left;1;3;2;Lean;Very Hard
5957;N. Anhölcher;Nils Anhölcher;8/22/1999;182.88;73.9;ST;Germany;56;69;Right;1;3;2;Lean;Very Hard
5958;D. Rainsford;Darragh Rainsford;11/15/1994;154.94;69.9;ST,CAM,LM;Republic of Ireland;56;62;Right;1;3;2;Normal;Very Hard
5959;J. Gutjahr;Jeremiah Gutjahr;8/10/1997;152.4;73.0;RM;United States;56;67;Right;1;2;2;Normal;Very Hard
5960;H. Duman;Hasan Huseyin Duman;4/12/1999;152.4;74.8;CM;Norway;56;68;Right;1;2;2;Normal;Very Hard
5961;J. Valbuena;Jhojan Valbuena;7/13/1997;175.26;69.9;CAM;Colombia;56;64;Right;1;3;2;Normal;Very Hard
5962;A. Al Shammari;Abdulelah Al Shammari;1/24/1999;175.26;63.0;CAM,LM;Saudi Arabia;56;67;Left;1;3;3;Lean;Very Hard
5963;Kim Han Bin;김한빈 金韩斌;3/31/1991;172.72;67.1;LB,RB;Korea Republic;56;57;Right;1;3;2;Normal;Very Hard
5964;F. Baptiste;Francis Baptiste;11/8/1999;154.94;66.2;ST;England;56;76;Right;1;3;2;Lean;Very Hard
5965;M. Kos;Mirko Kos;4/12/1997;182.88;79.8;GK;Austria;56;66;Right;1;3;1;Normal;Very Hard
5966;D. Stynes;Daniel Stynes;8/29/1998;182.88;69.9;CAM;Australia;56;67;Right;1;4;3;Lean;Very Hard
5967;A. Serna;Alexis Serna;12/7/1997;182.88;83.0;CDM;Colombia;56;66;Right;1;2;2;Normal;Very Hard
5968;A. Koldere;Adnan Emir Koldere;6/9/2000;185.42;68.0;LB,LM;Turkey;56;74;Left;1;2;2;Lean;Very Hard
5969;A. Rawls;Andre Rawls;12/20/1991;187.96;83.0;GK;United States;56;60;Right;1;2;1;Normal;Very Hard
5970;D. Malhue;Daniel Ignacio Malhue Toro;2/13/1995;154.94;72.1;RW,ST;Chile;56;62;Right;1;3;2;Normal;Very Hard
5971;J. McDonagh;Jamie McDonagh;5/8/1996;154.94;69.9;RM,RB;Northern Ireland;56;66;Right;1;3;2;Lean;Very Hard
5972;P. Gueye;Pape Gueye;1/24/1999;187.96;64.9;CDM;France;56;71;Left;1;3;2;Lean;Very Hard
5973;T. Roberts;Thomas Roberts;5/11/2001;154.94;68.0;CAM;United States;56;75;Left;1;3;2;Lean;Very Hard
5974;V. Viot;Vincent Viot;5/17/1994;182.88;79.8;GK;France;56;61;Right;1;3;1;Normal;Very Hard
5975;R. Watson;Ryan Watson;7/7/1993;185.42;73.0;CM;England;56;61;Right;1;2;2;Lean;Very Hard
5976;A. Grinwis;Adam Grinwis;4/21/1992;187.96;77.1;GK;United States;56;61;Right;1;3;1;Lean;Very Hard
5977;T. Schmitt;Tate Schmitt;5/28/1997;154.94;73.0;RW;United States;56;67;Left;1;2;2;Lean;Very Hard
5978;M. Pedersen;Marcus Holmgren Pedersen;6/16/2000;152.4;69.9;RM,LM;Norway;56;76;Right;1;3;2;Lean;Very Hard
5979;A. Jerez;Andrés Jerez;8/10/1998;182.88;77.1;GK;Chile;56;66;Right;1;3;1;Normal;Very Hard
5980;O. Sverrisson;Oskar Sverrisson;11/26/1992;185.42;79.8;LB;Sweden;56;59;Left;1;3;2;Normal;Very Hard
5981;T. Rönning;Tim Rönning;2/15/1999;190.5;79.8;GK;Sweden;56;66;Right;1;3;1;Lean;Very Hard
5982;M. Catenacci;Matteo Catenacci;8/23/2000;152.4;73.0;RB;Sweden;56;73;Right;1;3;2;Normal;Very Hard
5983;K. Finnsson;Kolbeinn Finnsson;8/25/1999;152.4;73.9;CM;Iceland;56;74;Right;1;3;2;Normal;Very Hard
5984;S. Janssen;Simon Janssen;9/25/2000;152.4;67.1;CM;Netherlands;56;72;Right;1;3;2;Normal;Very Hard
5985;W. Pleśnierowicz;Wiktor Pleśnierowicz;3/29/2001;182.88;74.8;CB;Poland;56;68;Right;1;2;2;Normal;Very Hard
5986;B. Slisz;Bartosz Slisz;3/29/1999;152.4;69.9;CDM,CM;Poland;56;68;Right;1;3;2;Normal;Very Hard
5987;V. Gomis;Virgil Gomis;4/16/1999;190.5;77.1;ST;France;56;76;Right;1;2;2;Normal;Very Hard
5988;J. Ferry;James Ferry;4/20/1997;152.4;67.1;CM;England;56;64;Right;1;3;2;Lean;Very Hard
5989;M. Siby;Mahame Siby;7/7/1996;154.94;74.8;CDM;France;56;63;Right;1;3;2;Lean;Very Hard
5990;M. Orłowski;Maciej Orłowski;1/7/1994;152.4;73.9;CB;Poland;56;59;Right;1;3;2;Normal;Very Hard
5991;H. Al Yami;Hamad Al Yami;5/17/1999;170.18;69.9;ST,RM;Saudi Arabia;56;71;Right;1;3;2;Lean;Very Hard
5992;O. Malcı;Oğuzhan Malcı;4/14/1996;185.42;73.9;CDM;Turkey;56;65;Right;1;2;2;Lean;Very Hard
5993;T. McIntyre;Tom McIntyre;11/6/1998;185.42;73.0;CB,LB;Scotland;56;72;Left;1;3;2;Normal;Very Hard
5994;L. Hardcastle;Lewis Hardcastle;7/4/1998;175.26;69.9;CM,CDM;England;56;64;Right;1;3;2;Normal;Very Hard
5995;K. Szymański;Karol Szymański;6/25/1993;190.5;88.0;GK;Poland;56;58;Right;1;3;1;Normal;Very Hard
5996;B. Yıldız;Berkay Yıldız;4/26/1997;152.4;69.9;CM;Turkey;56;69;Left;1;3;2;Lean;Very Hard
5997;B. Lucumí;Brayan Damián Lucumí Lucumí;2/12/1994;170.18;62.1;RM;Colombia;56;59;Right;1;3;2;Normal;Very Hard
5998;M. Wolff;Marco Wolff;12/14/1996;190.5;79.8;GK;Argentina;56;66;Right;1;3;1;Lean;Very Hard
5999;Jo Yong Jae;조용재 赵永载;1/6/1998;172.72;68.0;RW;Korea Republic;56;68;Right;1;3;2;Lean;Very Hard
6000;M. Parada;Matías Parada;4/2/1998;167.64;64.0;CAM;Chile;56;68;Right;1;3;2;Lean;Very Hard
6001;O. O'Dwyer;Oliver O'Dwyer;9/3/1997;200.66;83.0;CB;England;56;69;Right;1;3;2;Lean;Very Hard
6002;A. Medina;Alan Medina;8/19/1997;182.88;73.9;CM;Mexico;56;70;Right;1;3;2;Normal;Very Hard
6003;D. Mena;Denis Jovan Mena Zapata;8/26/1996;152.4;72.1;RM;Colombia;56;65;Right;1;2;2;Normal;Very Hard
6004;L. Seydoux;Léo Seydoux;3/16/1998;175.26;67.1;RB;Switzerland;56;68;Right;1;3;2;Normal;Very Hard
6005;A. Estacio;Adrián Estacio Peña;4/20/1998;152.4;71.2;LM;Colombia;56;71;Right;1;3;2;Normal;Very Hard
6006;N. Zedán;Nicolás Zedán;6/7/2000;154.94;69.9;ST;Chile;56;69;Right;1;3;2;Normal;Very Hard
6007;C. Borchgrevink;Christian Dahle Borchgrevink;5/11/1999;182.88;72.1;RB;Norway;56;69;Right;1;4;2;Lean;Very Hard
6008;J. Al Dossary;Jaman Abdullah Al Dossary;9/6/1993;152.4;76.2;LB,CB;Saudi Arabia;56;59;Right;1;4;2;Normal;Very Hard
6009;A. Diakhate;Abdou Diakhate;12/31/1998;152.4;78.0;CM;Senegal;56;71;Right;1;3;2;Lean;Very Hard
6010;R. Najjarine;Ramy Najjarine;4/23/2000;175.26;71.2;LM,CAM;Australia;56;75;Left;1;3;2;Normal;Very Hard
6011;M. Harris;Mark Thomas Harris;12/29/1998;182.88;74.8;ST,CM;Wales;56;73;Right;1;4;2;Normal;Very Hard
6012;Y. Ohashi;Yuki Ohashi;7/27/1996;152.4;72.1;ST;Japan;56;63;Right;1;3;2;Lean;Very Hard
6013;R. Koot;Rowen Koot;7/20/1999;185.42;79.8;GK;Netherlands;56;68;Right;1;2;1;Normal;Very Hard
6014;J. Holmes;Jordan Holmes;5/8/1997;187.96;74.8;GK;Australia;56;65;Right;1;2;1;Normal;Very Hard
6015;M. Shabow;Mario Shabow;5/5/1998;152.4;73.9;LM;Australia;56;65;Right;1;4;2;Lean;Very Hard
6016;S. Long;Sam Long;1/16/1995;152.4;74.8;RB,CB;England;56;63;Right;1;3;2;Normal;Very Hard
6017;T. Heward-Belle;Thomas Heward-Belle;3/11/1997;193.04;79.8;GK;Australia;56;69;Right;1;2;1;Lean;Very Hard
6018;R. Harvey;Robert Harvey;11/7/1999;172.72;64.9;RM,LM;England;56;70;Right;1;3;2;Normal;Very Hard
6019;S. Al Saleem;Salem Al Saleem;3/14/1999;170.18;68.0;LM,CAM,RM;Saudi Arabia;57;73;Right;1;3;2;Normal;Very Hard
6020;A. Mironov;Alexey Mironov;1/1/2000;175.26;69.9;CM,CDM;Russia;57;71;Right;1;3;2;Normal;Very Hard
6021;A. Goelzer;Anthony Goelzer;9/12/1998;182.88;74.8;LB;France;57;71;Left;1;3;2;Lean;Very Hard
6022;J. Holldack;Jan Holldack;5/11/1996;154.94;72.1;CDM,RB;Germany;57;67;Right;1;2;2;Lean;Very Hard
6023;B. Paz;Breiner Paz;9/27/1997;182.88;79.8;CB,RB;Colombia;57;72;Right;1;3;2;Normal;Very Hard
6024;A. Ahmedhodzic;Anel Ahmedhodzic;3/26/1999;190.5;74.8;CB;Sweden;57;71;Right;1;2;2;Lean;Very Hard
6025;C. Crane;Callum Crane;3/8/1996;175.26;68.9;LB;Scotland;57;66;Left;1;3;2;Normal;Very Hard
6026;J. Padilla;José De Jesús Padilla Ángeles;2/16/1999;175.26;63.0;RW;Mexico;57;73;Right;1;3;2;Lean;Very Hard
6027;N. Rodes;Nathan Rodes;12/11/1997;190.5;73.9;CDM;Belgium;57;66;Right;1;3;2;Lean;Very Hard
6028;A. Thurgate;Angus Thurgate;2/2/2000;152.4;69.9;CM;Australia;57;70;Right;1;3;2;Lean;Very Hard
6029;K. da Graca;Kristopher da Graca;1/16/1998;187.96;79.8;CB;Sweden;57;70;Right;1;2;2;Lean;Very Hard
6030;O. Al Owdah;Omar Al Owdah;12/29/1998;170.18;64.9;RB,RWB;Saudi Arabia;57;72;Right;1;3;2;Lean;Very Hard
6031;J. Pritchard;Joe Pritchard;9/10/1996;175.26;66.2;CM,RM,LM;England;57;67;Right;1;3;2;Lean;Very Hard
6032;M. Blair;Marley Blair;10/5/1999;175.26;68.0;LM,CAM;England;57;70;Right;1;3;2;Lean;Very Hard
6033;A. Campbell;Adam Campbell;1/1/1995;170.18;73.0;RM,LM,ST,CAM;England;57;61;Right;1;2;2;Normal;Very Hard
6034;Kim Joon Beom;김준범 Joon Beom Kim;1/14/1998;175.26;72.1;CM,LM;Korea Republic;57;67;Right;1;4;2;Normal;Very Hard
6035;T. Damsgaard;Tobias Damsgaard;1/30/1998;185.42;77.1;RB;Denmark;57;67;Right;1;4;2;Lean;Very Hard
6036;J. Vom Steeg;Justin Vom Steeg;4/5/1997;193.04;91.2;GK;United States;57;67;Right;1;3;1;Normal;Very Hard
6037;J. Orobio;Javier Alexis Orobio Rincón;7/3/1996;185.42;79.8;GK;Colombia;57;68;Right;1;2;1;Normal;Very Hard
6038;Y. Sugawara;Yukinari Sugawara;6/28/2000;152.4;68.9;CB,RB;Japan;57;71;Right;1;3;2;Lean;Very Hard
6039;M. Klass;Michael Klass;2/9/1999;175.26;63.0;CM;England;57;69;Right;1;3;2;Lean;Very Hard
6040;M. Mehnert;Marcus Mehnert;10/28/1997;182.88;77.1;ST;Norway;57;69;Right;1;3;2;Lean;Very Hard
6041;P. Campos;Pedro Campos;6/2/2000;172.72;64.9;RW;Chile;57;78;Right;1;3;3;Lean;Very Hard
6042;R. Edmondson;Ryan Edmondson;5/20/2001;185.42;78.0;ST;England;57;79;Right;1;3;2;Normal;Very Hard
6043;R. Vinderslev;Rasmus Hjorth Vinderslev;8/12/1997;185.42;76.2;CM;Denmark;57;68;Right;1;3;2;Lean;Very Hard
6044;Y. Lenze;Yannic Lenze;2/18/2001;185.42;74.8;GK;Germany;57;78;Left;1;3;1;Normal;Very Hard
6045;K. Stamatopoulos;Kyriakos Stamatopoulos;8/28/1979;187.96;79.8;GK;Canada;57;57;Left;1;2;1;Normal;Very Hard
6046;M. Al Haidari;Marwan Al Haidari;4/12/1996;187.96;86.2;GK;Saudi Arabia;57;65;Right;1;2;1;Normal;Very Hard
6047;S. Moore;Stuart Moore;9/8/1994;187.96;72.1;GK;England;57;64;Right;1;2;1;Normal;Very Hard
6048;Qiu Shengjiong;盛炯邱;9/1/1985;187.96;92.1;GK;China PR;57;57;Right;1;2;1;Stocky;Very Hard
6049;M. Śliwa;Maciej Śliwa;5/22/2001;175.26;69.9;RM,LM;Poland;57;70;Right;1;2;2;Lean;Very Hard
6050;R. Noda;野田 隆之介;9/28/1988;185.42;78.9;RM,CAM,ST;Japan;57;57;Right;1;3;2;Normal;Very Hard
6051;C. Coventry;Conor Coventry;3/25/2000;175.26;64.9;CM,CDM;Republic of Ireland;57;73;Right;1;3;2;Lean;Very Hard
6052;S. Coly;Sidy Keba Coly;2/20/1998;182.88;68.9;ST;Senegal;57;69;Right;1;2;2;Lean;Very Hard
6053;G. Siadas;Georgios Siadas;12/27/1999;154.94;73.9;LB;Germany;57;73;Left;1;3;2;Lean;Very Hard
6054;R. Lloyd;Ryan Lloyd;2/1/1994;152.4;73.0;LM,CM;England;57;60;Left;1;3;2;Lean;Very Hard
6055;C. Månsson;Conny Månsson;1/4/1981;187.96;88.0;GK;Sweden;57;57;Right;1;2;1;Stocky;Very Hard
6056;A. Al Bishi;Abdullah Al Bishi;1/31/1996;152.4;79.8;CB,CDM;Saudi Arabia;57;66;Right;1;2;2;Lean;Very Hard
6057;M. Al Zubaidi;Mohammed Al Zubaidi;8/25/1997;172.72;62.1;LB;Saudi Arabia;57;68;Left;1;3;2;Normal;Very Hard
6058;V. Karakuş;Vedat Karakuş;2/28/1998;190.5;83.9;GK;Turkey;57;67;Right;1;2;1;Normal;Very Hard
6059;L. Gordon;Liam Gordon;1/26/1996;182.88;77.1;CB;Scotland;57;66;Right;1;3;2;Normal;Very Hard
6060;A. Hauge;Arent Emil Hauge;10/9/1997;152.4;69.9;CM;Norway;57;65;Right;1;3;2;Lean;Very Hard
6061;E. Twumasi;Ema Twumasi;5/19/1997;172.72;77.1;LW;Ghana;57;67;Right;1;3;3;Normal;Very Hard
6062;A. Gutiérrez;Alexis Gutiérrez;2/26/2000;172.72;73.9;CM;Mexico;57;70;Right;1;2;2;Normal;Very Hard
6063;H. Pernía;Henry Pernía;11/9/1990;185.42;76.2;CB,RB;Venezuela;57;58;Right;1;3;2;Normal;Very Hard
6064;M. Al Rashidi;Mukhair Al Rashidi;5/20/1999;170.18;68.0;RB;Saudi Arabia;57;73;Right;1;3;2;Lean;Very Hard
6065;T. Chakwana;Tinashe Chakwana;10/25/1998;170.18;62.1;RM;England;57;68;Right;1;2;3;Lean;Very Hard
6066;B. Fox;Ben Fox;2/1/1998;175.26;76.2;CDM,RB;England;57;70;Right;1;3;2;Lean;Very Hard
6067;J. Oksanen;Jaakko Oksanen;11/7/2000;154.94;72.1;CDM,CM;Finland;57;76;Left;1;3;2;Lean;Very Hard
6068;G. Berggren;Gustav Berggren;9/7/1997;154.94;79.8;CM;Sweden;57;65;Right;1;2;2;Normal;Very Hard
6069;J. Skomsøy Bjerkås;Joakim Skomsøy Bjerkås;1/15/1993;187.96;84.8;RB,CB;Norway;57;60;Right;1;2;2;Normal;Very Hard
6070;K. Kovačević;Krešimir Kovačević;8/7/1994;187.96;79.8;ST;Croatia;57;61;Right;1;2;2;Normal;Very Hard
6071;A. Ramírez;Antonio Ramírez;11/3/1998;152.4;68.9;LW,RW;Chile;57;67;Right;1;3;2;Lean;Very Hard
6072;K. Rowles;Kye Rowles;6/24/1998;182.88;82.1;CB;Australia;57;72;Left;1;3;2;Lean;Very Hard
6073;A. Al Subaie;Abdullah Nasser Al Subaie;12/19/1993;175.26;67.1;CDM;Saudi Arabia;57;63;Right;1;3;2;Lean;Very Hard
6074;B. Dione;Babacar Dione;3/22/1997;167.64;62.1;ST;Belgium;57;66;Right;1;3;3;Normal;Very Hard
6075;Aparicio;Javier Aparicio Gómez;3/8/2000;154.94;74.8;RB;Spain;57;72;Right;1;3;3;Normal;Very Hard
6076;I. Jasarevic;Irfan Jašarević;8/24/1995;182.88;79.8;LB,CB;Bosnia Herzegovina;57;64;Left;1;2;2;Normal;Very Hard
6077;C. Vernam;Charles Vernam;10/8/1996;170.18;73.9;ST;England;57;65;Right;1;3;2;Normal;Very Hard
6078;K. Castañeda;Kevin Castañeda;10/28/1999;170.18;73.0;LM;Mexico;57;72;Right;1;3;2;Lean;Very Hard
6079;L. Symons;Laurens Symons;8/28/2001;175.26;59.9;ST;Belgium;57;77;Right;1;3;2;Lean;Very Hard
6080;S. Villarreal;Sergio Villarreal;1/10/2000;175.26;55.8;RB;Mexico;57;74;Right;1;2;2;Lean;Very Hard
6081;I. Mahnashi;Ibrahim Mahnashi;11/18/1999;170.18;69.9;CDM,CM;Saudi Arabia;57;75;Right;1;3;2;Lean;Very Hard
